"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.id","Input.item1_title","Input.item1_label","Input.item1_url","Input.item2_title","Input.item2_label","Input.item2_url","Input.item3_title","Input.item3_label","Input.item3_url","Answer.equal.label","Approve","Reject"
"3ZLW647WAMY8M6DW7JIQV3KGXKF32Z","39VEAY077HAJ6VRAPB1M7G2KUOHYG5","Are these two items the same?","Are these two items the same?","item, equality, comparison","$0.01","Thu Oct 21 01:39:13 PDT 2021","3","BatchId:337510;OriginalHitTemplateId:921587268;","3600","259200","Thu Oct 28 01:39:13 PDT 2021","","","3WYGZ5XF3XIA9N0VC6UXRQ922DIKSW","A4WFB2VKNKO3J","Approved","Thu Oct 21 01:43:49 PDT 2021","Thu Oct 21 01:43:53 PDT 2021","Sun Oct 24 01:43:53 PDT 2021","Sun Oct 24 01:44:36 PDT 2021","","","4","100% (10/10)","100% (10/10)","0% (0/0)","0","ISIC_0013490","1","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0013490.jpg?raw=true","ISIC_5366635","0","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_5366635.jpg?raw=true","ISIC_4329544","0","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_4329544.jpg?raw=true","B"
"3ZQX1VYFTE88UA876YBJTXVUEB38O2","39VEAY077HAJ6VRAPB1M7G2KUOHYG5","Are these two items the same?","Are these two items the same?","item, equality, comparison","$0.01","Thu Oct 21 01:39:13 PDT 2021","3","BatchId:337510;OriginalHitTemplateId:921587268;","3600","259200","Thu Oct 28 01:39:13 PDT 2021","","","33UKMF931ANAR63XVFDF2MSKN9NTT0","A4WFB2VKNKO3J","Approved","Thu Oct 21 01:43:26 PDT 2021","Thu Oct 21 01:43:31 PDT 2021","Sun Oct 24 01:43:31 PDT 2021","Sun Oct 24 01:43:36 PDT 2021","","","5","100% (10/10)","100% (10/10)","0% (0/0)","1","ISIC_0010025","0","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0010025.jpg?raw=true","ISIC_3542273","0","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_3542273.jpg?raw=true","ISIC_8609756","1","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_8609756.jpg?raw=true","A"
"3JTPR5MTZTF6H14QA8CNAW4USGS5KD","39VEAY077HAJ6VRAPB1M7G2KUOHYG5","Are these two items the same?","Are these two items the same?","item, equality, comparison","$0.01","Thu Oct 21 01:39:13 PDT 2021","3","BatchId:337510;OriginalHitTemplateId:921587268;","3600","259200","Thu Oct 28 01:39:13 PDT 2021","","","3U0SRXB7CE8ZGELLUUM8T8LAA64RNK","A4WFB2VKNKO3J","Approved","Thu Oct 21 01:43:09 PDT 2021","Thu Oct 21 01:43:19 PDT 2021","Sun Oct 24 01:43:19 PDT 2021","Sun Oct 24 01:43:36 PDT 2021","","","10","100% (10/10)","100% (10/10)","0% (0/0)","2","ISIC_0013567","1","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0013567.jpg?raw=true","ISIC_9579703","1","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_9579703.jpg?raw=true","ISIC_4508878","1","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_4508878.jpg?raw=true","A"
"308KJXFUJS92QQ6UZDHWJY7C37KATU","39VEAY077HAJ6VRAPB1M7G2KUOHYG5","Are these two items the same?","Are these two items the same?","item, equality, comparison","$0.01","Thu Oct 21 01:39:14 PDT 2021","3","BatchId:337510;OriginalHitTemplateId:921587268;","3600","259200","Thu Oct 28 01:39:14 PDT 2021","","","37Z929RLGAB9C6QI6F8PSHWYLQ9TSB","A4WFB2VKNKO3J","Approved","Thu Oct 21 01:42:29 PDT 2021","Thu Oct 21 01:43:07 PDT 2021","Sun Oct 24 01:43:07 PDT 2021","Sun Oct 24 01:43:36 PDT 2021","","","38","100% (10/10)","100% (10/10)","0% (0/0)","3","ISIC_0011230","0","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0011230.jpg?raw=true","ISIC_7035246","1","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_7035246.jpg?raw=true","ISIC_6613150","1","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_6613150.jpg?raw=true","A"
"3OCZWXS7ZPAH17M8V8OOPWH9HGX5LG","39VEAY077HAJ6VRAPB1M7G2KUOHYG5","Are these two items the same?","Are these two items the same?","item, equality, comparison","$0.01","Thu Oct 21 01:39:14 PDT 2021","3","BatchId:337510;OriginalHitTemplateId:921587268;","3600","259200","Thu Oct 28 01:39:14 PDT 2021","","","3O7L7BFSHFSIT95PB8PGPTQA9IKIEI","A4WFB2VKNKO3J","Approved","Thu Oct 21 01:43:59 PDT 2021","Thu Oct 21 01:44:04 PDT 2021","Sun Oct 24 01:44:04 PDT 2021","Sun Oct 24 01:44:36 PDT 2021","","","5","100% (10/10)","100% (10/10)","0% (0/0)","4","ISIC_0009919","0","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0009919.jpg?raw=true","ISIC_3738751","1","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_3738751.jpg?raw=true","ISIC_8806647","0","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_8806647.jpg?raw=true","B"
"3HXK2V1N4LI9GIPK2YPAEX9P1PKG2K","39VEAY077HAJ6VRAPB1M7G2KUOHYG5","Are these two items the same?","Are these two items the same?","item, equality, comparison","$0.01","Thu Oct 21 01:39:14 PDT 2021","3","BatchId:337510;OriginalHitTemplateId:921587268;","3600","259200","Thu Oct 28 01:39:14 PDT 2021","","","3Y54SXRO1MOPRJIMVK3P7IEM6NUTUR","A4WFB2VKNKO3J","Approved","Thu Oct 21 01:43:54 PDT 2021","Thu Oct 21 01:43:58 PDT 2021","Sun Oct 24 01:43:58 PDT 2021","Sun Oct 24 01:44:36 PDT 2021","","","4","100% (10/10)","100% (10/10)","0% (0/0)","5","ISIC_0010015","0","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0010015.jpg?raw=true","ISIC_1109641","0","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_1109641.jpg?raw=true","ISIC_4946006","0","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_4946006.jpg?raw=true","A"
"3RWB1RTQDKQQFAK8LYOYIX0KOGZ8PJ","39VEAY077HAJ6VRAPB1M7G2KUOHYG5","Are these two items the same?","Are these two items the same?","item, equality, comparison","$0.01","Thu Oct 21 01:39:14 PDT 2021","3","BatchId:337510;OriginalHitTemplateId:921587268;","3600","259200","Thu Oct 28 01:39:14 PDT 2021","","","37FMASSAYDUKM6T51HNQOLKP6L7IBI","A4WFB2VKNKO3J","Approved","Thu Oct 21 01:41:56 PDT 2021","Thu Oct 21 01:42:14 PDT 2021","Sun Oct 24 01:42:14 PDT 2021","Sun Oct 24 01:42:36 PDT 2021","","","18","100% (10/10)","100% (10/10)","0% (0/0)","6","ISIC_0013685","0","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0013685.jpg?raw=true","ISIC_9472515","0","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_9472515.jpg?raw=true","ISIC_7730937","1","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_7730937.jpg?raw=true","B"
"31MCUE39BLPY10L36Y3FX7EH73KG3V","39VEAY077HAJ6VRAPB1M7G2KUOHYG5","Are these two items the same?","Are these two items the same?","item, equality, comparison","$0.01","Thu Oct 21 01:39:14 PDT 2021","3","BatchId:337510;OriginalHitTemplateId:921587268;","3600","259200","Thu Oct 28 01:39:14 PDT 2021","","","3TPZPLC3M1F70XCWZJY4FZNP47PP3A","A4WFB2VKNKO3J","Approved","Thu Oct 21 01:43:43 PDT 2021","Thu Oct 21 01:43:48 PDT 2021","Sun Oct 24 01:43:48 PDT 2021","Sun Oct 24 01:44:36 PDT 2021","","","5","100% (10/10)","100% (10/10)","0% (0/0)","7","ISIC_0000409","0","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0000409.jpg?raw=true","ISIC_5332605","0","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_5332605.jpg?raw=true","ISIC_5272223","1","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_5272223.jpg?raw=true","B"
"37M4O367VKL17P4TVKP3P9WYHLN5MI","39VEAY077HAJ6VRAPB1M7G2KUOHYG5","Are these two items the same?","Are these two items the same?","item, equality, comparison","$0.01","Thu Oct 21 01:39:14 PDT 2021","3","BatchId:337510;OriginalHitTemplateId:921587268;","3600","259200","Thu Oct 28 01:39:14 PDT 2021","","","3E47SOBEYRZ3WBLBFHJLZ5Q7O67ICP","A4WFB2VKNKO3J","Approved","Thu Oct 21 01:43:20 PDT 2021","Thu Oct 21 01:43:25 PDT 2021","Sun Oct 24 01:43:25 PDT 2021","Sun Oct 24 01:43:36 PDT 2021","","","5","100% (10/10)","100% (10/10)","0% (0/0)","8","ISIC_0000300","1","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0000300.jpg?raw=true","ISIC_5581297","1","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_5581297.jpg?raw=true","ISIC_9152137","0","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_9152137.jpg?raw=true","B"
"3QE4DGPGBSEJJW476C8Y7C6NL3GG4G","39VEAY077HAJ6VRAPB1M7G2KUOHYG5","Are these two items the same?","Are these two items the same?","item, equality, comparison","$0.01","Thu Oct 21 01:39:14 PDT 2021","3","BatchId:337510;OriginalHitTemplateId:921587268;","3600","259200","Thu Oct 28 01:39:14 PDT 2021","","","3W2LOLRXLCIY880IXHUS1G46GBZKR8","A4WFB2VKNKO3J","Approved","Thu Oct 21 01:43:31 PDT 2021","Thu Oct 21 01:43:42 PDT 2021","Sun Oct 24 01:43:42 PDT 2021","Sun Oct 24 01:44:36 PDT 2021","","","11","100% (10/10)","100% (10/10)","0% (0/0)","9","ISIC_0013815","1","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0013815.jpg?raw=true","ISIC_0632512","0","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_0632512.jpg?raw=true","ISIC_1404148","0","https://github.com/vcheplygina/crowdsim/blob/main/Extra/Data/batch/ISIC_1404148.jpg?raw=true","B"